id,common_name,vietnamese_name,scientific_name,bird_order,family,description,distribution,diet,conservation_status
275,Gyrfalcon,Cắt Bắc Cực,Falco rusticolus,Falconiformes - Bộ Cắt,Falconidae - Họ Cắt,"Gyrfalcon là một loài diều hâu lớn, có kích thước từ 48 đến 61 cm. Chim trống lớn hơn chim mái và có màu sắc đa dạng, từ trắng tuyết, xám đậm đến đen hoặc nâu. Lông của Gyrfalcon khá dày và có mảng màu trắng ở đuôi.","Gyrfalcon phân bố rộng khắp các vùng Bắc Cực, bao gồm Bắc Mỹ, Bắc Âu, Bắc Á và vùng núi cao của Trung Quốc. Chúng thích nghi với các môi trường lạnh và rừng tundra, nơi chúng săn mồi trên không và sống trong hang đá.","Gyrfalcon là loài chim săn mồi chủ yếu, chúng thích săn các loài chim nhỏ và thỏ. Con mồi phổ biến bao gồm các loài vịt, sóc, chim di cư và thỏ.",Least Concern - Ít quan tâm
276,Hammerkop,Cò đầu búa,Scopus umbretta,Pelecaniformes - Bộ Bồ nông,Scopidae ,"Hammerkop là một loài chim có kích thước trung bình, đạt chiều dài khoảng 56-58 cm. Chúng có màu lông nâu đồng nhất trên cả cơ thể, có mỏ dài và chân màu xám. Đặc điểm đặc biệt của Hammerkop là mỏ hình đinh đầu và hình dạng đặc trưng của đuôi, giống như một cái xẻng.","Hammerkop phân bố chủ yếu ở châu Phi, từ vùng Sahara đến Nam Phi. Chúng thường sinh sống gần các dòng sông, hồ, đầm lầy và vùng đồng cỏ ẩm.","Hammerkop là loài chim ăn tạp, thức ăn chủ yếu của chúng bao gồm cá, ếch, ốc, cua, côn trùng và các loài động vật nhỏ khác. Chúng cũng có thể săn mồi trên mặt đất hoặc trong nước.",Least Concern - Ít quan tâm
277,Harlequin Duck,Vịt Harlequin,Histrionicus histrionicus,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Harlequin Duck là một loài chim vịt có kích thước nhỏ, đạt chiều dài khoảng 41-49 cm. Chim trống có lông sặc sỡ với màu sắc đa dạng, bao gồm các mảng màu xám, trắng, đen, xanh lá cây và cam. Chim mái có màu nâu đậm và nhạt, với một vạch mắt trắng và cổ họng trắng.","Harlequin Duck phân bố rải rác trong các khu vực núi cao và sông núi ở Bắc Mỹ, chủ yếu ở miền tây Canada và miền tây Hoa Kỳ. Chúng thường sinh sống ở các dòng sông nhanh và suối trong khu vực núi cao, và thỉnh thoảng xuất hiện gần các vùng biển ven bờ.","Chủ yếu là loài chim ăn động vật nhỏ, Harlequin Duck thức ăn chủ yếu là côn trùng, động vật thủy sinh và giun.",Least Concern - Ít quan tâm
278,Harlequin Quail,,Coturnix delegorguei,Galliformes - Bộ Gà,Phasianidae - Họ Trĩ,"Harlequin Quail là một loài chim chim cỏ nhỏ, có kích thước khoảng 17-19 cm. Chim trống và chim mái có lông tương tự nhau. Lông chủ yếu màu nâu với các đốm và sọc màu trắng, đen và nâu đậm trên ngực và cổ. Chim mái có màu sáng hơn và có các đốm màu trắng trên ngực.","Harlequin Quail được tìm thấy ở các khu vực cỏ ngắn, đồng cỏ và cánh đồng ở châu Phi. Chúng phân bố rộng rãi từ vùng bắc Sahara đến vùng miền nam châu Phi.","Harlequin Quail ăn chủ yếu là hạt cỏ, hạt cỏ và các loại thực vật nhỏ khác. Chúng cũng có thể ăn một số côn trùng nhỏ và động vật không xương sống.",Data Deficient - Không đủ dữ liệu
279,Harpy Eagle,Đại bàng Harpy,Harpia harpyja,Accipitriformes - Bộ Ưng,Accipitridae - Họ Ưng,"Harpy Eagle là một loài chim ưng lớn, có kích thước lớn nhất trong số các loài ưng ở miền Trung và Nam Mỹ. Chim trưởng thành có chiều dài khoảng 89-102 cm và cánh có sải rộng lên tới 2 mét. Chúng có lông màu xám xanh đậm trên lưng, mặt dưới cơ thể màu trắng, cổ màu xám, và mặt trước có màu trắng với các sọc đen rõ nét trên mặt.","Harpy Eagle sống ở các khu rừng nhiệt đới và rừng mưa Amazon ở miền Trung và Nam Mỹ, bao gồm các quốc gia như Brasil, Colombia, Ecuador, Peru và các khu vực lân cận. Chúng thích sống trong khu vực rừng nguyên sinh với cây cao và giàu tài nguyên.","Harpy Eagle là loài ăn thịt và chủ yếu săn mồi trên các loài động vật lớn như linh dương, hươu, khỉ và các loài chim nhỏ. Chúng cũng có thể ăn động vật có kích thước nhỏ hơn như chim, rắn và thú nhỏ.",Near Threatened - Sắp bị đe doạ
280,Hawaiian Goose,Ngỗng Hawaii,Branta sandvicensis,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Hawaiian Goose là một loài chim ngỗng nhỏ, có kích thước trung bình. Chim trưởng thành có chiều dài khoảng 56-71 cm và cân nặng từ 2 đến 3 kg. Lông của chúng có màu xám với đốm màu nâu và có vạch đen trên cổ. Đặc điểm nổi bật của loài này là mỏ màu đen và chân màu xám đen.","Hawaiian Goose là loài đặc hữu của quần đảo Hawaii, Hoa Kỳ. Chúng được tìm thấy chủ yếu trên đảo Hawaii, Maui và Kauai, và đã được giới thiệu vào các khu vực bảo tồn khác trong quần đảo.","Loài này chủ yếu ăn cỏ, lá non, cành và một số loại cây cỏ khác. Chúng cũng có thể ăn các loại hạt và trái cây nhỏ.",Near Threatened - Sắp bị đe doạ
281,Hawfinch,,Coccothraustes coccothraustes,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"Hawfinch là một loài chim có kích thước lớn, với chiều dài khoảng 16-18 cm. Đặc điểm nổi bật của loài chim này là mỏ rất mạnh và lớn, có hình dạng đặc trưng với mỏ dày và nón. Lông của Hawfinch thường có màu nâu đậm ở phần trên và màu nâu sáng ở phần dưới, với các đốm màu trắng trên cánh và đuôi.","Hawfinch phân bố rộng khắp châu Âu, Châu Á và Bắc Phi. Chúng thường sinh sống trong các khu rừng lá cây, khu vực cây bụi và công viên, đặc biệt là ở khu vực có cây hạt. Chúng có mặt trong nhiều loại môi trường từ vùng núi đến đồng bằng.","Hawfinch chủ yếu ăn hạt cây, đặc biệt là hạt cây đậu và hạt cây thực phẩm. Chúng cũng ăn các loại quả và thỉnh thoảng côn trùng nhỏ.",Least Concern - Ít quan tâm
282,Helmet Vanga,,Euryceros prevostii,Passeriformes - Bộ Sẻ,Vangidae,"Helmet Vanga là một loài chim có kích thước trung bình, đạt chiều dài khoảng 30 cm. Đặc điểm nổi bật của chúng là mỏ dài, hình nón và có một nón xương phía sau đỉnh đầu, tạo nên hình dáng giống mũ bảo hiểm. Lông của Helmet Vanga có màu đen trên phần lưng và cánh, và có màu trắng hoặc xám nhạt ở phần dưới.","Helmet Vanga sinh sống ở Madagascar, hòn đảo lớn nhất của quần đảo Mascarene ở Ấn Độ Dương. Chúng thường được tìm thấy trong các khu rừng nhiệt đới và rừng mưa của đảo.","Helmet Vanga chủ yếu ăn côn trùng, bao gồm cả bướm, chuồn chuồn và kiến. Chúng cũng có thể ăn các loại quả và hạt nhỏ.",Least Concern - Ít quan tâm
283,Hepatic Tanager,,Piranga flava,Passeriformes - Bộ Sẻ,Cardinalidae - Họ Hồng tước,"Hepatic Tanager là một loài chim có kích thước trung bình, với chiều dài khoảng 17-19 cm. Chim trống có màu sắc đặc trưng, với màu đỏ sẫm trên lưng, cổ và ngực, trong khi các phần dưới cơ thể có màu vàng cam đậm. Chim mái có màu sắc tương tự nhưng nhạt hơn.","Hepatic Tanager sinh sống chủ yếu ở Bắc và Trung Mỹ, từ tây nam Hoa Kỳ và México đến Costa Rica và Panama. Chúng thường được tìm thấy trong các khu rừng rậm, khu vực ven rừng và các vùng cây bụi.","Hepatic Tanager chủ yếu ăn các loại quả, như quả mọng, quả cây bụi và quả cỏ. Chúng cũng ăn một số loài côn trùng và một ít mật hoa.",Least Concern - Ít quan tâm
284,Himalayan Bluetail,Oanh đuôi nhọn Himalaya,Tarsiger rufilatus,Passeriformes - Bộ Sẻ,Muscicapidae - Họ Đớp ruồi,"Himalayan Bluetail là một loài chim có kích thước nhỏ, với chiều dài khoảng 13-14 cm. Chim trống có màu xanh lam. Đuôi của chúng có màu xanh lá cây sáng với một điểm màu trắng ở đầu và một dải màu trắng ở cuối. Chim mái có màu nâu xám phía trên và màu trắng phía dưới.","Himalayan Bluetail sinh sống chủ yếu ở dãy Himalaya và các vùng núi cao ở miền đông và miền bắc châu Á. Chúng thường được tìm thấy trong các khu rừng rậm, khu vực bụi cây và các vùng đồng cỏ núi.","Himalayan Bluetail ăn chủ yếu các loại côn trùng nhỏ, như côn trùng bay, con nhộng và một số loài giun.",Least Concern - Ít quan tâm
285,Himalayan Monal,,Lophophorus impejanus,Galliformes - Bộ Gà ,Phasianidae - Họ Trĩ,"Himalayan Monal là một loài chim có kích thước lớn, với chiều dài khoảng 60-70 cm. Chim trống có màu lông rực rỡ và đa sắc, với màu xanh, đỏ, vàng, xám và trắng trên cơ thể. Chim mái có lông màu nâu sẫm với sọc màu trắng và đen. Đặc biệt, chim trống có một mào đen lớn và một đuôi dài với lông màu xanh lá cây và đen.",Himalayan Monal phân bố ở các vùng núi cao của dãy Himalaya và các vùng núi lân cận ở châu Á. Chúng sống trong các khu rừng núi và khu vực đồng cỏ trên độ cao từ 2.500 đến 4.500 mét.,"Himalayan Monal ăn chủ yếu các loại hạt, cỏ, rễ cây, côn trùng và một số loại trái cây.",Least Concern - Ít quan tâm
286,Hoatzin,Gà móng hoang dã,Opisthocomus hoazin,Opisthocomiformes,Opisthocomidae,"Hoatzin là một loài chim đặc biệt với ngoại hình độc đáo. Chúng có kích thước trung bình, khoảng 58-70 cm dài và nặng khoảng 650-700g. Đặc điểm nổi bật của Hoatzin là có một cái mỏ lớn, một đầu có mào dài và một cặp ngón chân với móng dài giúp chúng leo trèo trên các cành cây.","Hoatzin sinh sống chủ yếu ở các vùng đầm lầy và hệ thống sông ngòi trong khu vực Amazon của Nam Mỹ, bao gồm Brazil, Peru, Colombia và Venezuela.","Hoatzin là loài chim chủ yếu ăn lá, hoa, trái cây và một số loại côn trùng nhỏ. Đặc biệt, hệ tiêu hóa của chúng có cấu trúc đặc biệt để tiếp xúc với vi khuẩn, giúp chúng tiêu hóa các loại thực phẩm chủ yếu từ cây trái.",Least Concern - Ít quan tâm
287,Hooded Merganser,Vịt biển mào,Lophodytes cucullatus,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Hooded Merganser là một loài chim ngỗng thuộc kích thước nhỏ. Chim đực có bộ lông đặc biệt với một mào lớn và bộ lông đầu đen, cổ trắng và thân dưới nâu đỏ. Chim cái có ngoại hình tương tự nhưng không có mào lớn. Chúng có mỏ mảnh, sắc nhọn và chân bơi có vuốt giúp chúng di chuyển trên mặt nước.","Hooded Merganser phân bố rộng khắp ở Bắc Mỹ và một số khu vực ở châu Âu. Chúng thường sinh sống gần các vùng nước ngọt như hồ, ao, sông và đầm lầy.","Loài chim này ăn chủ yếu là cá, ếch, giun và các loại côn trùng nhỏ. Chúng thường bơi và ngập mình vào nước để tìm kiếm thức ăn.",Least Concern - Ít quan tâm
288,Hoopoe,Chi Đầu rìu,Upupa epops,Bucerotiformes - Bộ Đầu rìu,Upupidae - Chi Đầu rìu,"Hoopoe là một loài chim có kích thước trung bình với hình dạng đặc biệt. Chúng có mỏ dài và cong xuống, đầu có mào lớn, và đuôi hình nón. Lông của Hoopoe có màu sặc sỡ với một mảng màu đen và trắng trên đầu, lưng nâu và cánh có màu xám xanh. Một đặc điểm đáng chú ý của chim này là khả năng mở và đóng mở mào lớn khi bay hoặc khi cảm thấy bị đe dọa.","Hoopoe phân bố rộng rãi trên nhiều khu vực châu Phi, châu Á và châu Âu. Chúng thường được tìm thấy trong các môi trường mở như cánh đồng, cánh đồng cỏ, khu vườn và các vùng đồng cỏ với cây cối rải rác.","Chủ yếu, Hoopoe ăn các loại côn trùng như bọ cánh cứng, ruồi, chuồn chuồn và mối. Chúng thường sử dụng mỏ dài và cong của mình để săn mồi trong mặt đất hoặc từ các bề mặt cây cỏ.",Least Concern - Ít quan tâm
289,Horned Guan,,Oreophasis derbianus,Galliformes - Bộ Gà,Cracidae,"Horned Guan là một loài chim có kích thước lớn, với cơ thể mập mạp và đuôi dài. Chim đực có mào dày phía sau đầu và mỏ lớn màu vàng. Lông của Horned Guan chủ yếu có màu đen với những điểm màu trắng trên cánh và đuôi. Đặc biệt, chúng có một cặp sừng nhỏ ở gốc mỏ, tạo nên tên gọi ""Horned"" Guan.","Horned Guan sinh sống trong các khu rừng ẩm ướt núi cao của Trung Mỹ, bao gồm các vùng núi ở Guatemala và Mexico. Chúng thích nghi với môi trường rừng nhiệt đới nguyên sinh và thường được tìm thấy ở độ cao từ 1.800 đến 3.400 mét trên mực nước biển.","Horned Guan chủ yếu ăn các loại quả, hạt, lá và một số loại côn trùng. Chúng thường săn mồi trên cây và di chuyển chậm chạp qua tầng cây để tìm kiếm thức ăn.",Critically Endangered - Cực kỳ nguy cấp
290,Horned Lark,Sơn ca bờ biển,Eremophila alpestris,Passeriformes - Bộ Sẻ,Alaudidae - Họ Sơn ca,"Horned Lark là một loài chim có kích thước trung bình, dài khoảng 15-18 cm. Chim đực và chim cái có màu lông tương đối giống nhau. Mào của chim đực có màu đen và có hai ""sừng"" nhỏ gần mỏ, tạo nên tên gọi ""Horned"" Lark. Lông của Horned Lark có màu nâu sẫm pha trộn với màu xám và trắng, tạo thành các mảng màu đặc trưng trên cơ thể.","Horned Lark phân bố rộng khắp trên các vùng ôn đới và cận ôn đới của Bắc Mỹ, châu Âu và châu Á. Chúng thích nghi với nhiều môi trường sống, bao gồm đồng cỏ, cánh đồng, vùng cát và các khu vực núi non.","Horned Lark chủ yếu ăn hạt cỏ, hạt cây, côn trùng nhỏ và một số loại thực vật nhỏ khác. Chúng thường tìm kiếm thức ăn trên mặt đất và trên các cánh đồng cỏ.",Least Concern - Ít quan tâm
291,Horned Sungem,,Heliactin bilophus,Apodiformes - Bộ Yến,Trochilidae - Họ Chim ruồi,"Horned Sungem là một loài chim kiến ba sọc nhỏ, với chiều dài trung bình khoảng 10 cm. Chim đực và chim cái có sự khác biệt về màu sắc. Chim đực có lông màu xanh lá cây với các đốm trắng ở cổ và bụng, và có hai ""sừng"" nhỏ trên đỉnh đầu, tạo nên tên gọi ""Horned"" Sungem. Chim cái có lông màu xám với các đốm nâu đậm trên lưng và bụng.","Horned Sungem sinh sống chủ yếu ở miền tây Nam Mỹ, bao gồm các quốc gia như Bolivia, Peru và Ecuador. Chúng thích nghi với môi trường sống trong rừng mưa nhiệt đới, vùng cây bụi và vùng núi cao.",Horned Sungem chủ yếu ăn mật từ hoa và các loài côn trùng nhỏ. Chúng thường bám vào hoa và sử dụng mỏ dài và cong để tiếp cận mật hoa.,Least Concern - Ít quan tâm
292,House Finch,,Haemorhous mexicanus,Passeriformes - Bộ Sẻ,Fringillidae - Họ Sẻ thông,"House Finch là một loài chim nhỏ có kích thước trung bình, khoảng 12-15 cm. Chim đực có lông màu đỏ hoặc cam đậm trên ngực, đầu và mặt dưới, trong khi chim cái có lông màu nâu xám. Mỏ của chúng nhỏ và hơi nhọn. Một đặc điểm nổi bật của House Finch là chúng có các vết đen nhỏ trên ngực và trên mặt dưới.","House Finch có phạm vi phân bố rộng, từ miền tây và miền nam Canada đến Mexico và Trung Mỹ. Chúng đã được giới thiệu vào các khu vực khác như miền đông Hoa Kỳ và Hawaii. House Finch thích nghi với nhiều môi trường sống, bao gồm rừng cây xanh, cánh đồng, khu vườn và khu đô thị.","Chế độ ăn của House Finch chủ yếu bao gồm hạt và quả. Chúng thích ăn hạt cây cỏ, hạt cây mỡ, hạt cây cối và quả như quả cà chua, quả cam và quả mâm xôi.",Least Concern - Ít quan tâm
293,House Sparrow - Sẻ nhà,,Passer domesticus,Passeriformes - Bộ Sẻ,Passeridae - Họ Sẻ,"House Sparrow là một loài chim nhỏ với kích thước trung bình khoảng 14 cm. Chim đực có lông màu xám trên lưng và đầu, cổ và ngực màu nâu, và mặt dưới màu trắng. Chim cái có lông nâu đồng nhất với các sọc màu nâu nhạt trên lưng. Mỏ của chúng ngắn và mạnh.","House Sparrow có phạm vi phân bố rộng trên toàn thế giới. Chúng được tìm thấy ở các khu vực đô thị, nông thôn và cả nơi hoang dã trên khắp châu Á, châu Âu, Bắc Mỹ và một số khu vực khác.","House Sparrow là loài chim ăn hạt và có thể tìm thấy ăn từ nhiều nguồn thức ăn khác nhau. Chúng ăn hạt cây, hạt lúa mì, hạt cây cỏ và cũng có thể ăn côn trùng nhỏ, một số loại trái cây và thức ăn nhựa trong môi trường đô thị.",Least Concern - Ít quan tâm
294,Hyacinth Macaw,Vẹt đuôi dài lam tía,Anodorhynchus hyacinthinus,Psittaciformes - Bộ Vẹt,Psittacidae - Họ Vẹt,"Hyacinth Macaw là một loài chim lớn, với chiều dài trung bình khoảng 100 cm. Chúng có màu xanh lam sáng rực rỡ trên toàn bộ cơ thể, với đôi cánh và đuôi dài. Mỏ của chúng mạnh mẽ và cong xuống. Chim đực và chim cái có ngoại hình tương tự nhau.","Hyacinth Macaw là loài bản địa của các vùng đồng cỏ, rừng mở và vùng đầm lầy ở khu vực Nam Mỹ, đặc biệt là ở Brasil, Bolivia và Paraguay.",Chủ yếu là cây hạt và quả. Hyacinth Macaw thích ăn các loại quả mềm như quả palm và quả bạch đàn.,Vulnerable - Bị đe doạ
295,Iberian Magpie,,Cyanopica cooki,Passeriformes - Bộ Sẻ,Corvidae - Họ Quạ,"Iberian Magpie là một loài chim có kích thước trung bình, với chiều dài khoảng 34-38 cm. Chim có màu sắc đặc trưng với lưng xanh lá cây, cánh đen với một vạch trắng rực rỡ, và đuôi dài có màu đen và xanh lá cây. Mỏ của chúng dài và sắc bén. Chim đực và chim cái có ngoại hình tương tự nhau.","Iberian Magpie là loài đặc hữu của bán đảo Iberia, bao gồm Tây Ban Nha và Bồ Đào Nha. Chúng thường sống trong các khu rừng thông, rừng sồi và vùng đồng cỏ.","Chế độ ăn của Iberian Magpie chủ yếu là côn trùng, động vật nhỏ, hạt, quả và thực vật. Chúng cũng có thể ăn các loại thức ăn nhân tạo từ con người.",Near Threatened - Sắp bị đe doạ
296,Ibisbill,,Ibidorhyncha struthersii,Charadriiformes - Bộ Cun cút,Ibidorhynchidae,"Ibisbill là một loài chim có kích thước trung bình, với chiều dài khoảng 36-40 cm. Chim có hình dạng đặc biệt, với mỏ dài và cong xuống. Lông của chúng có màu trắng ở bụng và đen trên lưng, đuôi có màu đen và một sọc trắng ở cánh. Chim đực và chim cái có ngoại hình tương tự.","Ibisbill được tìm thấy ở khu vực núi cao và các dòng sông nhanh chảy của khu vực từ Trung Quốc và quần đảo Hồi giáo cho đến Nepal, Bhutan và vùng núi Tây Tạng. Chúng thường sống gần các con sông và hồ nước trong các khu vực đá và đá vôi.","Chế độ ăn của Ibisbill chủ yếu là côn trùng, giun và các loài động vật nhỏ trong môi trường nước, bao gồm cả cá và ếch.",Near Threatened - Sắp bị đe doạ
297,Imperial shag,,Imperial shag ,Suliformes - Bộ Chim điên,Phalacrocoracidae - Họ Cốc,"Chim Imperial shag là một loài chim thuộc họ cò đại (cormorant). Chúng có kích thước trung bình, dài khoảng 70-80 cm. Chim đực và chim cái có ngoại hình tương tự nhau với bộ lông màu đen sáng trên cơ thể và đầu màu đen. Chim trưởng thành có mỏ và chân màu đỏ.","Chim Imperial shag phân bố chủ yếu tại Nam Mỹ, bao gồm quần đảo Falkland, Nam Argentina, Nam Chile, và các đảo ngoài khơi. Chúng thường sinh sống ở các khu vực ven biển và hòn đảo.",Chúng ăn chủ yếu các loài cá nhỏ và giun đất.,Least Concern - Ít quan tâm
298,Inca tern,Mòng biển Inca,Larosterna inca,Charadriiformes - Bộ Cun cút,Laridae - Họ Mòng biển," Inca tern là một loài chim có kích thước trung bình, dài khoảng 40 cm. Chim trưởng thành có lông màu đen với cánh và đuôi màu trắng. Một đặc điểm độc đáo của chúng là có bộ lông mặt trước và mỏ màu trắng, cùng với một chùm lông trên đầu tạo thành một ""râu"" dài. Chim non có lông màu nâu xám và thiếu râu.","Inca tern sống tại các vùng ven biển và các đảo của bờ biển Thái Bình Dương, bao gồm bờ biển Peru và Chile. Chúng thường xây tổ trên các vách đá và hang động gần biển.","Chúng chủ yếu ăn cá và các loại động vật biển nhỏ khác, bao gồm giun, con nhện và cua biển.",Least Concern - Ít quan tâm
299,Indian bustard,Ô tác Đại Ấn,Ardeotis nigriceps,Otidiformes - Bộ Ô tác,Otididae - Họ Ô tác,"Indian bustard là một loài chim có kích thước lớn, với chiều dài trung bình từ 90 đến 120 cm. Chim trưởng thành có màu chủ yếu là xám nâu với cổ, mặt và đỉnh đầu màu đen. Mỏ dài và mảnh, chân màu xám xanh. Chim cái thường nhỏ hơn chim đực và có lông màu sáng hơn.","Indian bustard được tìm thấy ở các khu vực cỏ khô và cánh đồng rộng ở Ấn Độ, Pakistan và Nepal. Chúng sống chủ yếu trên đồng cỏ và mở rộng cằn cỗi.","Chúng ăn chủ yếu các loại côn trùng như cào cào, châu chấu và bọ cánh cứng. Ngoài ra, chúng cũng có thể ăn các loài thực vật nhỏ.",Endangered - Nguy cấp
300,Indian pitta,Đuôi cụt Ấn Độ,Pitta brachyura,Passeriformes - Bộ Sẻ,Pittidae - Họ Đuôi cụt,"Indian pitta là một loài chim nhỏ có kích thước trung bình, dài khoảng 18-20 cm. Lông của chúng có màu sắc rực rỡ và đa dạng. Mặt trên của chim có màu xanh lá cây sáng với các vằn đen và trắng. Mặt dưới của chim có màu cam sáng, ngực có màu cam đậm, và bụng trắng. Chim đực và chim cái có lông giống nhau.","Indian pitta phân bố rộng rãi trong khu vực Đông Nam Á, bao gồm Ấn Độ, Nepal, Sri Lanka và các quốc gia Đông Nam Á khác. Chúng thích nghi với các môi trường sống rừng nhiệt đới ẩm ướt và rừng cây lá rụng.","Indian pitta là loài chim ăn côn trùng và sâu bọ như kiến, con giun, bọ cánh cứng và nhện. Chúng thường săn mồi trên mặt đất hoặc trong lớp lá và cành cây.",Least Concern - Ít quan tâm
301,Indian roller,Sả rừng,Coracias benghalensis,Coraciiformes - Bộ Sả,Coraciidae - Họ Sả rừng,"Indian roller là một loài chim có kích thước trung bình, dài khoảng 25-30 cm. Chúng có một màu lông đặc trưng với lưng xanh lam sáng và cánh có màu xanh lục. Chim đực và chim cái có lông giống nhau, nhưng chim đực có màu sắc sáng hơn.","Indian roller được tìm thấy rộng rãi ở Ấn Độ, Sri Lanka và các vùng lân cận trong khu vực Nam Á. Chúng sống trong các môi trường đa dạng như rừng, vùng cây bụi, cánh đồng và vùng đồng cỏ.","Indian roller chủ yếu ăn côn trùng, bao gồm bọ cánh cứng, châu chấu và con nhện. Chúng thường ngồi trên cây cao để tìm kiếm mồi và sau đó hạ cánh xuống để bắt mồi bằng mỏ.",Least Concern - Ít quan tâm
302,Indian vulture,Kền kền Ấn Độ,Gyps indicus,Accipitriformes - Bộ Ưng,Accipitridae - Họ Ưng,"Indian vulture là một loài chim kỳ đà có kích thước lớn, dài khoảng 80-100 cm và sải cánh khoảng 200-220 cm. Chúng có màu lông chủ yếu màu nâu, đầu và cổ trần và có mỏ và móng chắc.","Indian vulture phân bố rộng rãi ở Ấn Độ và các khu vực lân cận trong khu vực Nam Á. Chúng sống chủ yếu trong các môi trường mở như đồng cỏ, thảo nguyên và các vùng nông thôn.","Indian vulture là loài chim ăn xác thối, chủ yếu ăn thịt của các động vật đã chết. Chúng có vai trò quan trọng trong việc làm sạch môi trường bằng cách tiêu thụ các tạp chất từ các xác động vật.",Critically Endangered - Cực kỳ nguy cấp
303,Indigo Bunting,,Passerina cyanea,Passeriformes - Bộ Sẻ,Cardinalidae - Họ Hồng tước,"Indigo Bunting là một loài chim nhỏ, với chiều dài khoảng 13-14 cm. Chim đực có lông màu xanh dương sáng rực rỡ, trong khi chim cái có lông màu nâu xám nhạt. Chim trống có mỏ nhọn và đuôi dài. Chim cái và chim non có mỏ hơi cong và đuôi ngắn hơn.","Indigo Bunting sinh sống ở miền đông và miền trung Bắc Mỹ. Chúng phổ biến trong các môi trường sống như đồng cỏ, cánh đồng, rừng rậm và bãi cỏ. Chim này thường di cư vào mùa đông, khi sống trong khu vực nhiệt đới và cận nhiệt đới của Mexico và Trung Mỹ.","Indigo Bunting chủ yếu ăn hạt, như hạt cỏ, hạt cây và hạt cỏ cỏ.",Least Concern - Ít quan tâm
304,Indigo Flycatcher,,Eumyias indigo,Passeriformes - Bộ Sẻ,Muscicapidae - Họ Đớp ruồi,"Indigo Flycatcher là một loài chim nhỏ, với chiều dài khoảng 12-14 cm. Chim đực có lông màu xanh indigo sáng ở phần trên và màu trắng ở phần dưới, trong khi chim cái có lông màu nâu xám nhạt. Chim có mỏ nhỏ, đuôi dài và cánh ngắn.","Indigo Flycatcher phân bố ở khu vực miền nam và đông nam châu Á, bao gồm Ấn Độ, Nepal, Bhutan, Myanmar, Thái Lan và Việt Nam. Chúng thường sinh sống trong các khu rừng ẩm ướt, rừng núi và rừng thưa.","Indigo Flycatcher ăn chủ yếu là côn trùng như muỗi, ruồi, bọ chét và các loại côn trùng bay.",Data Deficient - Không đủ dữ liệu
305,Inland Dotterel,,Charadrius obscurus,Charadriiformes - Bộ Cun cút,Charadriidae - Họ Choi choi,"Inland Dotterel là một loài chim có kích thước trung bình, khoảng 20-25 cm chiều dài. Chim trống và chim cái có lông giống nhau, với màu sắc chủ yếu là màu nâu xám trên lưng và màu trắng hoặc nhạt hơn ở phần dưới. Chúng có mỏ ngắn, chân dài và cánh hẹp.","Inland Dotterel phân bố ở khu vực miền nam của Úc và New Zealand. Chúng thường sinh sống trong các vùng đất hoang vu, đồng cỏ và vùng cát khô.","Inland Dotterel chủ yếu ăn côn trùng như kiến, mối và con nhện. Chúng cũng có thể ăn hạt cỏ và thực vật nhỏ.",Least Concern - Ít quan tâm
306,Ivory-billed Aracari,,Pteroglossus azara,Piciformes - Bộ Gõ kiến,Ramphastidae - Họ Tu căng,"Ivory-billed Aracari là một loài chim có kích thước trung bình, khoảng 40-45 cm chiều dài. Chim trống và chim cái có lông giống nhau, với màu lông chủ yếu là đen, có vạch màu trắng trên cánh và đuôi, cổ và mặt dưới có màu vàng. Chúng có mỏ dày, dẹp và cong về phía trên, với màu vàng.","Ivory-billed Aracari phân bố ở khu vực rừng mưa Amazon và các khu rừng ẩm ướt khác ở Nam Mỹ, bao gồm Bolivia, Brazil, Colombia, Ecuador và Peru.","Ivory-billed Aracari chủ yếu ăn trái cây, mật hoa và côn trùng. Chúng cũng có thể ăn các loại hạt, một số loài thực vật và động vật nhỏ.",Least Concern - Ít quan tâm
307,Ivory Gull,Mòng biển trắng ngà,Pagophila eburnea,Charadriiformes - Bộ Cun cút,Laridae - Họ Mòng biển,"Ivory Gull là một loài chim biển nhỏ, có chiều dài khoảng 43-51 cm. Chúng có lông trắng hoàn toàn, mỏ màu đen, và mắt màu nâu đậm. Chim trống và chim cái có ngoại hình tương đồng.","Ivory Gull sinh sống ở vùng Bắc Cực và khu vực Arctics, bao gồm Greenland, Bắc Canada, Bắc Nga và các khu vực lân cận. Chúng thường ở gần bờ biển, đảo băng và vùng nước đá băng.","Ivory Gull ăn chủ yếu các loại mồi biển, bao gồm cá, tôm, cua, ốc, và động vật nhỏ khác. Chúng cũng có thể ăn xác động vật và thức ăn tồn đọng trên băng.",Vulnerable - Bị đe doạ
